t,y_exact
0.000000,-1.000000
0.025000,-0.955272
0.050000,-0.913212
0.075000,-0.873328
0.100000,-0.835260
0.125000,-0.798730
0.150000,-0.763523
0.175000,-0.729465
0.200000,-0.696414
0.225000,-0.664253
0.250000,-0.632882
0.275000,-0.602217
0.300000,-0.572186
0.325000,-0.542725
0.350000,-0.513778
0.375000,-0.485297
0.400000,-0.457237
0.425000,-0.429560
0.450000,-0.402230
0.475000,-0.375213
0.500000,-0.348482
0.525000,-0.322007
0.550000,-0.295764
0.575000,-0.269730
0.600000,-0.243881
0.625000,-0.218198
0.650000,-0.192661
0.675000,-0.167250
0.700000,-0.141947
0.725000,-0.116736
0.750000,-0.091599
0.775000,-0.066520
0.800000,-0.041483
0.825000,-0.016472
0.850000,0.008529
0.875000,0.033535
0.900000,0.058562
0.925000,0.083626
0.950000,0.108743
0.975000,0.133929
1.000000,0.159201
1.025000,0.184575
1.050000,0.210071
1.075000,0.235705
1.100000,0.261499
1.125000,0.287472
1.150000,0.313646
1.175000,0.340044
1.200000,0.366692
1.225000,0.393615
1.250000,0.420842
1.275000,0.448405
1.300000,0.476339
1.325000,0.504682
1.350000,0.533476
1.375000,0.562768
1.400000,0.592611
1.425000,0.623068
1.450000,0.654206
1.475000,0.686106
1.500000,0.718862
1.525000,0.752587
1.550000,0.787412
1.575000,0.823500
1.600000,0.861053
1.625000,0.900325
1.650000,0.941648
1.675000,0.985465
1.700000,1.032394
1.725000,1.083344
1.750000,1.139750
1.775000,1.204134
1.800000,1.281795
1.825000,1.389047
1.850000,NaN
1.875000,NaN
1.900000,NaN
1.925000,NaN
1.950000,NaN
1.975000,NaN
2.000000,NaN
